#Tempo    Entrada    Saída
0.166000    289.609650     289.609650
0.166500    285.832458     285.832458
0.167000    281.876648     281.876648
0.167500    277.744659     277.744659
0.168000    273.439087     273.439087
0.168500    268.962616     268.962616
0.169000    264.318054     264.318054
0.169500    259.508301     259.508301
0.170000    254.536377     254.536377
0.170500    249.405380     249.405380
0.171000    244.118500     244.118500
0.171500    238.679062     238.679062
0.172000    233.090454     233.090454
0.172500    227.356171     227.356171
0.173000    221.479797     221.479797
0.173500    215.464996     215.464996
0.174000    209.315552     209.315552
0.174500    203.035278     203.035278
0.175000    196.628128     196.628128
0.175500    190.098083     190.098083
0.176000    183.449234     183.449234
0.176500    176.685745     176.685745
0.177000    169.811829     169.811829
0.177500    162.831772     162.831772
0.178000    155.749969     155.749969
0.178500    148.570816     148.570816
0.179000    141.298813     141.298813
0.179500    133.938507     133.938507
0.180000    126.494492     126.494492
0.180500    118.971420     118.971420
0.181000    111.374001     111.374001
0.181500    103.706970     103.706970
0.182000    95.975128     95.975128
0.182500    88.183304     88.183304
0.183000    80.336365     80.336365
0.183500    72.439224     72.439224
0.184000    64.496803     64.496803
0.184500    56.514084     56.514084
0.185000    48.496040     48.496040
0.185500    40.447689     40.447689
0.186000    32.374058     32.374058
0.186500    24.280195     24.280195
0.187000    16.171158     16.171158
0.187500    8.052013     8.052013
0.188000    -0.072163     0.072163
0.188500    -8.196294     8.196294
0.189000    -16.315302     16.315302
0.189500    -24.424114     24.424114
0.190000    -32.517662     32.517662
0.190500    -40.590885     40.590885
0.191000    -48.638744     48.638744
0.191500    -56.656204     56.656204
0.192000    -64.638252     64.638252
0.192500    -72.579910     72.579910
0.193000    -80.476204     80.476204
0.193500    -88.322205     88.322205
0.194000    -96.113007     96.113007
0.194500    -103.843735     103.843735
0.195000    -111.509575     111.509575
0.195500    -119.105721     119.105721
0.196000    -126.627426     126.627426
0.196500    -134.069992     134.069992
0.197000    -141.428772     141.428772
0.197500    -148.699173     148.699173
0.198000    -155.876617     155.876617
0.198500    -162.956665     162.956665
0.199000    -169.934860     169.934860
0.199500    -176.806854     176.806854
0.200000    -183.568359     183.568359
0.200500    -190.215134     190.215134
0.201000    -196.743027     196.743027
0.201500    -203.147964     203.147964
0.202000    -209.425934     209.425934
0.202500    -215.573029     215.573029
0.203000    -221.585388     221.585388
0.203500    -227.459274     227.459274
0.204000    -233.190994     233.190994
0.204500    -238.776993     238.776993
0.205000    -244.213745     244.213745
0.205500    -249.497894     249.497894
0.206000    -254.626099     254.626099
0.206500    -259.595184     259.595184
0.207000    -264.402008     264.402008
0.207500    -269.043610     269.043610
0.208000    -273.517059     273.517059
0.208500    -277.819550     277.819550
0.209000    -281.948456     281.948456
0.209500    -285.901123     285.901123
0.210000    -289.675110     289.675110
0.210500    -293.268066     293.268066
0.211000    -296.677765     296.677765
0.211500    -299.902008     299.902008
0.212000    -302.938843     302.938843
0.212500    -305.786346     305.786346
0.213000    -308.442749     308.442749
0.213500    -310.906372     310.906372
0.214000    -313.175720     313.175720
0.214500    -315.249298     315.249298
0.215000    -317.125885     317.125885
0.215500    -318.804260     318.804260
0.216000    -320.283417     320.283417
0.216500    -321.562408     321.562408
0.217000    -322.640411     322.640411
0.217500    -323.516785     323.516785
0.218000    -324.190979     324.190979
0.218500    -324.662537     324.662537
0.219000    -324.931213     324.931213
0.219500    -324.996826     324.996826
0.220000    -324.859314     324.859314
0.220500    -324.518768     324.518768
0.221000    -323.975403     323.975403
0.221500    -323.229584     323.229584
0.222000    -322.281769     322.281769
0.222500    -321.132507     321.132507
0.223000    -319.782562     319.782562
0.223500    -318.232758     318.232758
0.224000    -316.484070     316.484070
0.224500    -314.537598     314.537598
0.225000    -312.394531     312.394531
0.225500    -310.056244     310.056244
0.226000    -307.524200     307.524200
0.226500    -304.799927     304.799927
0.227000    -301.885193     301.885193
0.227500    -298.781769     298.781769
0.228000    -295.491638     295.491638
0.228500    -292.016815     292.016815
0.229000    -288.359497     288.359497
0.229500    -284.521942     284.521942
0.230000    -280.506592     280.506592
0.230500    -276.315948     276.315948
0.231000    -271.952606     271.952606
0.231500    -267.419281     267.419281
0.232000    -262.718872     262.718872
0.232500    -257.854218     257.854218
0.233000    -252.828445     252.828445
0.233500    -247.644669     247.644669
0.234000    -242.306107     242.306107
0.234500    -236.816116     236.816116
0.235000    -231.178131     231.178131
0.235500    -225.395645     225.395645
0.236000    -219.472321     219.472321
0.236500    -213.411819     213.411819
0.237000    -207.217941     207.217941
0.237500    -200.894562     200.894562
0.238000    -194.445633     194.445633
0.238500    -187.875168     187.875168
0.239000    -181.187302     181.187302
0.239500    -174.386200     174.386200
0.240000    -167.476105     167.476105
0.240500    -160.461349     160.461349
0.241000    -153.346298     153.346298
0.241500    -146.135422     146.135422
0.242000    -138.833221     138.833221
0.242500    -131.444244     131.444244
0.243000    -123.973122     123.973122
0.243500    -116.424515     116.424515
0.244000    -108.803154     108.803154
0.244500    -101.113792     101.113792
0.245000    -93.361237     93.361237
0.245500    -85.550331     85.550331
0.246000    -77.685966     77.685966
0.246500    -69.773041     69.773041
0.247000    -61.816517     61.816517
0.247500    -53.821358     53.821358
0.248000    -45.792561     45.792561
0.248500    -37.735146     37.735146
0.249000    -29.654148     29.654148
0.249500    -21.554617     21.554617
0.250000    -13.441614     13.441614
0.250500    -5.320212     5.320212
0.251000    2.804516     2.804516
0.251500    10.927490     10.927490
0.252000    19.043636     19.043636
0.252500    27.147881     27.147881
0.253000    35.235157     35.235157
0.253500    43.300415     43.300415
0.254000    51.338608     51.338608
0.254500    59.344719     59.344719
0.255000    67.313744     67.313744
0.255500    75.240692     75.240692
0.256000    83.120621     83.120621
0.256500    90.948608     90.948608
0.257000    98.719749     98.719749
0.257500    106.429192     106.429192
0.258000    114.072121     114.072121
0.258500    121.643761     121.643761
0.259000    129.139374     129.139374
0.259500    136.554291     136.554291
0.260000    143.883850     143.883850
0.260500    151.123489     151.123489
0.261000    158.268692     158.268692
0.261500    165.314972     165.314972
0.262000    172.257950     172.257950
0.262500    179.093246     179.093246
0.263000    185.816635     185.816635
0.263500    192.423889     192.423889
0.264000    198.910889     198.910889
0.264500    205.273575     205.273575
0.265000    211.507965     211.507965
0.265500    217.610168     217.610168
0.266000    223.576385     223.576385
0.266500    229.402863     229.402863
0.267000    235.085968     235.085968
0.267500    240.622162     240.622162
0.268000    246.007980     246.007980
0.268500    251.240036     251.240036
0.269000    256.315094     256.315094
0.269500    261.229950     261.229950
0.270000    265.981537     265.981537
0.270500    270.566895     270.566895
0.271000    274.983185     274.983185
0.271500    279.227600     279.227600
0.272000    283.297485     283.297485
0.272500    287.190369     287.190369
0.273000    290.903717     290.903717
0.273500    294.435303     294.435303
0.274000    297.782837     297.782837
0.274500    300.944305     300.944305
0.275000    303.917664     303.917664
0.275500    306.701080     306.701080
0.276000    309.292847     309.292847
0.276500    311.691284     311.691284
0.277000    313.894958     313.894958
0.277500    315.902435     315.902435
0.278000    317.712494     317.712494
0.278500    319.323975     319.323975
0.279000    320.735901     320.735901
0.279500    321.947388     321.947388
0.280000    322.957672     322.957672
0.280500    323.766083     323.766083
0.281000    324.372192     324.372192
0.281500    324.775543     324.775543
0.282000    324.975952     324.975952
0.282500    324.973236     324.973236
0.283000    324.767426     324.767426
0.283500    324.358673     324.358673
0.284000    323.747162     323.747162
0.284500    322.933350     322.933350
0.285000    321.917725     321.917725
0.285500    320.700897     320.700897
0.286000    319.283630     319.283630
0.286500    317.666840     317.666840
0.287000    315.851501     315.851501
0.287500    313.838776     313.838776
0.288000    311.629913     311.629913
0.288500    309.226288     309.226288
0.289000    306.629395     306.629395
0.289500    303.840881     303.840881
0.290000    300.862488     300.862488
0.290500    297.696045     297.696045
0.291000    294.343567     294.343567
